5	0.002
9	0.002
13	0.003
17	0.002
25	0.002
29	0.002
37	0.002
41	0.002
49	0.003
53	0.003
61	0.003
73	0.004
81	0.005
89	0.005
97	0.006
101	0.005
109	0.006
113	0.006
121	0.01
125	0.009
137	0.011
149	0.012
157	0.01
169	0.013
173	0.015
181	0.013
193	0.013
197	0.015
229	0.021
233	0.022
241	0.023
257	0.029
269	0.03
277	0.033
281	0.033
289	0.043
293	0.036
313	0.044
317	0.045
337	0.055
349	0.061
353	0.061
361	0.078
373	0.07
389	0.081
397	0.086
401	0.081
409	0.093
421	0.097
433	0.11
449	0.12
457	0.134
461	0.125
