10000	0.445
10000	0.440
10000	0.435
10000	0.436
10000	0.441
1000	0.006
1000	0.006
1000	0.007
1000	0.006
1000	0.006
100	0.002
100	0.002
100	0.002
100	0.002
100	0.002
10	0.002
10	0.002
10	0.002
10	0.002
10	0.002
15	0.002
15	0.002
15	0.003
15	0.002
15	0.002
2000	0.019
2000	0.021
2000	0.020
2000	0.021
2000	0.021
200	0.002
200	0.002
200	0.003
200	0.002
200	0.003
20	0.002
20	0.003
20	0.002
20	0.002
20	0.002
25	0.002
25	0.002
25	0.002
25	0.002
25	0.002
3000	0.041
3000	0.041
3000	0.041
3000	0.041
3000	0.041
300	0.002
300	0.002
300	0.003
300	0.002
300	0.003
30	0.002
30	0.003
30	0.002
30	0.002
30	0.002
4000	0.075
4000	0.075
4000	0.073
4000	0.074
4000	0.073
400	0.003
400	0.003
400	0.003
400	0.003
400	0.002
40	0.002
40	0.003
40	0.002
40	0.003
40	0.002
5000	0.114
5000	0.112
5000	0.110
5000	0.111
5000	0.110
500	0.003
500	0.003
500	0.003
500	0.003
500	0.003
50	0.002
50	0.003
50	0.002
50	0.003
50	0.002
6000	0.162
6000	0.158
6000	0.158
6000	0.157
6000	0.156
600	0.003
600	0.004
600	0.003
600	0.003
600	0.003
60	0.002
60	0.002
60	0.002
60	0.003
60	0.002
7000	0.214
7000	0.214
7000	0.213
7000	0.213
7000	0.210
700	0.004
700	0.004
700	0.004
700	0.004
700	0.004
70	0.002
70	0.002
70	0.002
70	0.002
70	0.002
8000	0.287
8000	0.284
8000	0.281
8000	0.282
8000	0.286
800	0.004
800	0.004
800	0.005
800	0.004
800	0.004
80	0.002
80	0.002
80	0.002
80	0.002
80	0.002
9000	0.367
9000	0.358
9000	0.352
9000	0.356
9000	0.353
900	0.005
900	0.005
900	0.005
900	0.005
900	0.005
90	0.002
90	0.002
90	0.002
90	0.003
90	0.002
