1000	4.487
1020	3.822
1040	5.719
1060	5.476
1080	6.438
1100	6.547
1120	6.888
1140	6.114
1160	6.860
1180	9.411
1200	9.493
1220	9.559
1240	14.355
1260	12.705
1280	12.209
1300	14.409
1320	15.042
1340	15.130
1360	15.947
1380	15.392
1400	18.630
1420	19.307
1440	19.231
1460	21.825
1480	19.729
1500	20.842
1520	25.335
1540	23.626
1560	32.778
1580	29.468
1600	36.189
1620	32.429
1640	39.408
1660	40.679
1680	37.033
1700	40.385
1720	44.875
1740	39.144
1760	53.365
1780	47.315
1800	54.199
1820	64.105
1840	53.050
1860	57.397
1880	73.649
1900	63.338
1920	71.712
1940	62.775
1960	77.140
1980	80.746
2000	91.009
200	0.016
220	0.022
240	0.027
260	0.038
280	0.048
300	0.056
320	0.076
340	0.085
360	0.099
380	0.139
400	0.162
420	0.181
440	0.195
460	0.231
480	0.365
500	0.316
520	0.350
540	0.442
560	0.419
580	0.711
600	0.652
620	0.815
640	0.896
660	0.975
680	0.894
700	0.939
720	1.077
740	1.166
760	1.646
780	1.445
800	1.941
820	2.000
840	2.337
860	2.108
880	2.979
900	3.151
920	2.890
940	4.020
960	4.360
980	4.326
