240	0.763
264	1.974
288	6.170
312	11.224
336	41.577
360	67.122
384	99.935
408	99.930
432	99.930
456	99.934
480	99.928
504	99.931
528
552
576
600
624
648
672
696
720
744
768
792
816
840
864
888
912
936
960
984
1008
1032
1056
1080
1104
1128
1152
1176
1200
120	0.005
144	0.026
168	0.055
192	0.208
216	0.473
