400	79.139
416	0.046
432	0.082
448	1.098
464	99.955
480	0.358
496	0.107
512	0.015
48	0.002
528	0.054
544	0.417
560	0.062
576	0.449
592	0.181
608	0.143
624	99.955
640	1.350
656	0.163
672	0.122
64	0.002
688	99.951
704	1.027
720	0.110
736	99.956
752	99.949
768	0.208
784	0.507
4	0.002
800	0.150
816	0.352
832	99.947
80	0.004
848	0.277
864	2.972
880	0.526
896	0.238
912	0.212
928	99.953
944	99.954
960	0.205
976	1.745
992	5.806
96	0.002
1008	0.248
1024	0.101
112	0.005
8	0.002
128	0.006
144	0.009
160	0.022
176	0.007
192	0.007
16	0.002
208	7.226
224	0.222
240	0.010
256	0.005
272	0.012
288	0.031
304	1.054
320	0.019
336	0.018
352	0.213
32	0.002
368	99.961
384	0.133
