101	0.002
109	0.002
113	0.002
121	0.002
125	0.002
137	0.002
13	0.002
149	0.002
157	0.002
169	0.003
173	0.002
17	0.002
181	0.003
193	0.003
197	0.003
229	0.003
233	0.003
241	0.004
257	0.003
25	0.002
269	0.003
277	0.004
281	0.003
289	0.005
293	0.003
29	0.002
313	0.004
317	0.004
337	0.004
349	0.004
353	0.004
361	0.008
373	0.004
37	0.002
389	0.004
397	0.005
401	0.005
409	0.005
41	0.002
421	0.005
433	0.006
449	0.006
457	0.006
461	0.005
49	0.002
53	0.002
5	0.002
61	0.002
73	0.002
81	0.002
89	0.002
97	0.002
9	0.002
